지역,현재일기,시정,운량,중하운량,현재기온,이슬점온도,불쾌지수,일강수,습도,풍향,풍속,해면기압
80,청송군, ,19.6, , ,26.5,12.1,73, ,41,북동,
81,청주,맑음,20 이상,0,0,28.0,10.2,73, ,33,서북서,
82,추풍령, ,20 이상, , ,27.6,13.5,74, ,42,서북서,
83,춘천, ,20 이상, , ,22.3,15.1,69,0.0,64,서남서,
84,충주, ,17.7, , ,25.2,14.0,72, ,50,북동,
85,태백, ,20 이상, , ,22.7,9.1,68, ,42,남남서,
86,통영, ,18.9, , ,22.4,21.0,72, ,92,남동,
87,파주, ,20 이상, , ,21.2,17.2,69,0.0,78,북북동,
88,포항,구름조금,18.9,3,3,27.3,18.5,76, ,59,북북동,
89,함양군, ,20 이상, , ,30.5,10.9,76, ,30,서,
90,합천, ,19.9, , ,29.5,16.3,77, ,45,남남서,
91,해남, ,13.4, , ,25.9,20.0,75, ,70,서북서,
92,홍성,구름조금,20 이상,3,0,27.0,8.4,72, ,31,서남서,
93,홍천, ,1.6, , ,21.8,14.1,68,0.0,62,북서,
94,흑산도,구름많음,20 이상,8,3,20.6,18.7,68, ,89,남,
